2021-01-07 16:51:33,038 - data_pipeline - INFO - CampaignParameters - Reading Campaign Parameters
2021-01-07 16:51:33,043 - data_pipeline - INFO - ProcessXRF - Processing XRF
2021-01-07 16:55:01,262 - data_pipeline - INFO - ProcessInputs - Processing XRF
2021-01-07 16:55:02,241 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 1
2021-01-07 16:55:02,246 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 10
2021-01-07 16:55:02,253 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 11
2021-01-07 16:55:02,260 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 12
2021-01-07 16:55:02,267 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 13
2021-01-07 16:55:02,273 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 14
2021-01-07 16:55:02,279 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 15
2021-01-07 16:55:02,288 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 16
2021-01-07 16:55:02,295 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 17
2021-01-07 16:55:02,301 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 18
2021-01-07 16:55:02,308 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 19
2021-01-07 16:55:02,316 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 2
2021-01-07 16:55:02,323 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 20
2021-01-07 16:55:02,330 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 21
2021-01-07 16:55:02,335 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 22
2021-01-07 16:55:02,342 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 23
2021-01-07 16:55:02,349 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 24
2021-01-07 16:55:02,355 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 25
