2021-01-07 23:23:13,323 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 88
2021-01-07 23:23:13,327 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 89
2021-01-07 23:23:13,331 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 9
2021-01-07 23:23:13,336 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 90
2021-01-07 23:23:13,341 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 91
2021-01-07 23:23:13,346 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 92
2021-01-07 23:23:13,351 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 93
2021-01-07 23:23:13,355 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 94
2021-01-07 23:23:13,360 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 95
2021-01-07 23:23:13,364 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 22, position 96
2021-01-07 23:23:13,369 - data_pipeline - INFO - ProcessConductance - Processing Conductivity for sample 14
2021-01-07 23:23:13,370 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 0
2021-01-07 23:23:13,374 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 1
2021-01-07 23:23:13,381 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 10
2021-01-07 23:23:13,386 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 11
2021-01-07 23:23:13,391 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 12
2021-01-07 23:23:13,398 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 13
2021-01-07 23:23:13,406 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 14
2021-01-07 23:23:13,412 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 15
2021-01-07 23:23:13,420 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 16
2021-01-07 23:23:13,425 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 17
2021-01-07 23:23:13,432 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 18
2021-01-07 23:23:13,439 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 19
2021-01-07 23:23:13,443 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 2
2021-01-07 23:23:13,448 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 20
2021-01-07 23:23:13,453 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 21
2021-01-07 23:23:13,459 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 22
2021-01-07 23:23:13,466 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 23
2021-01-07 23:23:13,474 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 24
2021-01-07 23:23:13,488 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 25
2021-01-07 23:23:13,496 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 26
2021-01-07 23:23:13,502 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 27
2021-01-07 23:23:13,509 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 28
2021-01-07 23:23:13,516 - data_pipeline - INFO - ProcessConductance - Processing conductivity for sample 14, position 29
