sample,position,conductance
48,80,0.0
48,81,0.0
48,82,0.0
48,83,0.0
48,84,0.0
48,85,0.0
48,86,0.0
48,87,0.0
48,88,0.0
48,89,0.0
48,9,0.13435281529126963
48,90,0.0
48,91,0.0
48,92,0.0
48,93,0.0
48,94,0.0
48,95,0.0
48,96,0.0
41,0,0.06477271554844513
41,1,0.007163050366579333
41,10,0.0
41,11,0.0
41,12,0.00946374244235668
41,13,0.0
41,14,0.0
41,15,0.0
41,16,0.03437431611991165
41,17,0.0
41,18,0.0
41,19,0.01097197463003598
41,2,0.0
41,20,0.0
41,21,0.06970580317242062
41,22,0.046361160066564405
41,23,0.06604152700652671
41,24,0.0
41,25,0.0
41,26,0.01939821284542172
41,27,0.14441060308034
41,28,0.016527417858821777
41,29,0.11805912485300578
41,3,0.0
41,30,0.0
41,31,0.0
41,32,0.13587622452381445
41,33,0.09148742211316337
41,34,0.06498490980767574
41,35,0.0
41,36,0.0
41,37,0.021390462573336808
41,38,0.02382293109584733
41,39,0.09360801669753052
41,4,0.0
41,40,0.0800788204389749
41,41,0.0
41,42,0.0
41,43,0.10901575051776637
41,44,0.12882895765778646
41,45,0.06271671143669245
41,46,0.0
41,47,0.05496812947852834
41,48,0.04459860412103205
41,49,0.07580737972929072
41,5,0.0
41,50,0.09245518779596802
41,51,0.0996274077275856
41,52,0.0
41,53,0.0
41,54,0.15391142243727307
41,55,0.13735089946689205
41,56,0.11083474555271622
41,57,0.10425808642474071
41,58,0.0822134684452963
41,59,0.09086711502232019
41,6,0.0
41,60,0.10277636399100877
41,61,0.12170505301993702
41,62,0.0
41,63,0.0
41,64,0.0
41,65,0.0
41,66,0.0
41,67,0.0
41,68,0.0
41,69,0.0
41,7,0.0
41,70,0.0
41,71,0.0
41,72,0.0
41,73,0.0
41,74,0.0
41,75,0.0
41,76,0.0
41,77,0.0
41,78,0.0
41,79,0.0
41,8,0.0
41,80,0.0
41,81,0.0
41,82,0.0
41,83,0.0
41,84,0.0
41,85,0.0
41,86,0.0
41,87,0.0
41,88,0.0
41,89,0.0
41,9,0.0
41,90,0.0
41,91,0.0
41,92,0.0
41,93,0.0
41,94,0.0
41,95,0.0
41,96,0.0
46,0,0.0
46,1,0.0
46,10,0.022133374640534227
46,11,0.0
46,12,0.0
46,13,0.04666262257271035
46,14,0.03923318075642748
46,15,0.032697561938991565
46,16,0.0298909850155638
46,17,0.02664427278977429
46,18,0.024318234390572617
46,19,0.02511022762170236
46,2,0.0
46,20,0.0
46,21,0.0
46,22,0.04717699118831527
46,23,0.05426606465444997
46,24,0.04024582841926975
46,25,0.033364533938928215
46,26,0.03260897465132037
46,27,0.028763011359088434
46,28,0.024227911828121926
46,29,0.029005691123781985
46,3,0.0
46,30,0.030049462918436885
46,31,0.0
46,32,0.0
46,33,0.049113628800456444
46,34,0.060889078843484996
46,35,0.0406824965360307
46,36,0.03147830129865304
46,37,0.03163331671529761
46,38,0.026040741484072996
46,39,0.026666308576237193
46,4,0.0
46,40,0.024638822579657604
46,41,0.028011679749988545
46,42,0.030755486784334367
46,43,0.0
46,44,0.020398328951408008
46,45,0.04092008698675176
46,46,0.05092298640327162
46,47,0.026690061395148224
46,48,0.02436547050132529
46,49,0.02274549016636911
46,5,0.0
46,50,0.026776002520310354
46,51,0.034595436639507995
46,52,0.04522657561394024
46,53,0.0
46,54,0.0
46,55,0.0
46,56,0.00011994578213071362
46,57,0.035240711681138
46,58,0.02550414173598858
46,59,0.04206863497796653
46,6,0.0319270588939299
46,60,0.020868500483165405
46,61,0.009702400554777717
46,62,0.0
46,63,0.009731306734951891
46,64,0.0
46,65,0.0
46,66,0.0
46,67,0.0
46,68,0.02499880161994733
46,69,0.13283314695577733
46,7,0.034265590733644394
46,70,0.0389790094414678
46,71,0.022959325914191156
46,72,0.033216196416669924
46,73,0.01154447037185893
46,74,0.0
46,75,0.0
46,76,0.0
46,77,0.0
46,78,0.0
46,79,0.0
46,8,0.03212795518095175
46,80,0.0
46,81,0.009137065272792563
46,82,0.005835058565649242
46,83,0.0
46,84,0.0
46,85,0.0
46,86,0.0
46,87,0.0
46,88,0.0
46,89,0.0
46,9,0.026281744733898642
46,90,0.0
46,91,0.0
46,92,0.0
46,93,0.0
46,94,0.0
46,95,0.0
46,96,0.0
64,0,0.13974033451041265
64,1,0.0
64,10,0.025309807866921025
64,11,0.020597245074334348
64,12,0.01750983111355158
64,13,0.002385159510268145
64,14,0.035486518392839894
64,15,0.020557877959449695
64,16,0.1273647772708457
64,17,0.06765798501955556
64,18,0.0
64,19,0.05015214009928689
64,2,0.05915798329589827
64,20,0.0038208282627758246
64,21,0.09980347270460566
64,22,0.07073525048766899
64,23,0.05070672681595183
64,24,0.10691582330128799
64,25,0.0166992538689875
64,26,0.011212784907053299
64,27,0.009143406911656717
64,28,0.0042795972128695185
64,29,0.0
64,3,0.0
64,30,0.21930194873904663
64,31,0.013317540759332305
64,32,34.53975772827084
64,33,0.00024658070499290524
64,34,0.019956723559864373
64,35,0.0002716286758393083
64,36,0.013496617207863017
64,37,0.013247533850926462
64,38,0.008705411318497221
64,39,0.08196808654518443
64,4,0.0
64,40,0.003937404271858639
64,41,0.002514082814462555
64,42,0.007807793233930344
64,43,0.0
64,44,0.05188782164287739
64,45,1.6239008511096336
64,46,0.01166732985714129
64,47,0.011217252133781755
64,48,0.010250364268659348
64,49,0.05461434238168153
64,5,0.0
64,50,0.023944968032526975
64,51,0.0237088764034935
64,52,0.0940126625655209
64,53,0.026319180294393552
64,54,0.006093547275979142
64,55,0.002487578101068165
64,56,0.0024648580782255097
64,57,0.40114989043020527
64,58,0.0038173629591237847
64,59,0.006437343123097614
64,6,0.0002012983860930651
64,60,0.006798335600400201
64,61,0.01775355764175638
64,62,0.11725761573556996
64,63,0.0410620258912498
64,64,0.03811761910163195
64,65,0.0
64,66,0.021842729755834317
64,67,0.09897888433970933
