sample,position,xrf_avg,xrf_std
13,35,250421.02690572987,143264.4587085678
13,36,241178.43098047044,114994.09054014535
13,37,262436.4016085671,122762.31296277636
13,38,281828.07882867864,103150.61900556427
13,39,294607.74511764303,87411.16804128095
13,40,276007.02081805846,65183.93413425158
13,41,358737.1414605966,256635.39752395873
13,42,273616.3878335443,297634.3924579244
13,43,89262.14757048587,13577.557763393666
13,44,391255.08231686987,483460.46068300324
13,45,475069.4305583327,438371.5821997058
13,46,257139.6831744761,68689.83729846796
13,47,235712.85742851417,84753.03988918384
13,48,242555.93325779279,108433.4406545336
13,49,302650.580994912,117358.60569600922
13,50,302934.9685618431,111208.14981161675
13,51,271572.3521962273,86294.23491575712
13,52,352889.4221155768,222326.12275866157
13,53,261112.22200004436,263436.0004386423
13,54,89804.26136994822,14145.73008787834
13,55,399893.3546624007,486137.0820819296
13,56,502823.87966851064,431070.368545416
13,57,306098.78024395107,67913.51023998475
13,58,278815.34804150264,85329.11191464865
13,59,247035.03743695698,92297.50506406251
13,60,278797.57381856954,105968.91393172317
13,61,276700.21551245294,103422.68817432135
13,62,259956.89750938688,91907.67527686084
13,63,331329.28969761595,247792.52200077922
13,64,247461.61878735357,276911.60505973245
13,65,90550.77873314223,13644.115699756121
13,66,255024.55064542644,360532.224061973
13,67,406185.42958075047,387524.99470633385
13,68,356826.4124952786,234465.77079092024
13,69,292217.1121331288,82097.94281887531
13,70,275144.9710057987,86606.25778120158
13,71,286129.4407785108,91221.22479728732
13,72,302535.04854584625,91130.00968661453
13,73,332218.0008442756,144201.18892944494
13,74,334919.6827301206,285087.16410814313
13,75,221902.28620942472,296303.9350086676
13,76,126285.85394032301,165853.8352503957
13,77,243089.1599457885,314332.6997907314
13,78,346899.50898709137,335238.85423654004
13,79,360114.64373791893,271865.32227060455
13,80,320762.5141638338,179156.35903420698
13,81,291568.3529960673,72100.07660097892
13,82,310373.48085938353,97376.69879353294
13,83,362523.0509453664,198611.33076185404
13,84,302623.91966051236,294253.23311297025
13,85,120491.4572641027,157388.67056767794
13,86,207487.39141060674,281273.42982609326
13,87,288111.2666355617,321869.6536948134
13,88,318887.33364438213,315886.18904470315
13,89,351591.90384145384,320233.0816109182
13,90,362229.7762669688,310607.03057885636
13,91,301575.24050745403,292925.5564053664
13,92,89804.26136994819,16347.454433132938
13,93,137119.242818103,194112.5063350016
13,94,214357.1285742851,313006.96134277456
13,95,259281.4770379257,350811.09024969494
13,96,263111.82208002836,343900.64303155744
47,0,231766.9799373458,283181.56073526153
47,1,242235.99724499538,243414.1666763138
47,2,215619.09840254168,199955.10146270803
47,3,164260.48123708586,164665.21023831842
47,4,113061.8320780288,93806.02574858432
47,5,288493.41242862534,292622.6570541516
47,6,327721.12244217814,262299.07500464184
47,7,321962.27421182423,214196.6096857354
47,8,305201.181985825,184934.86108266862
47,9,288866.67111022235,198009.36755414875
47,10,231056.0110200182,203773.6995385843
47,11,145428.69203936987,153288.78869876298
47,12,344304.4724388455,303202.38903068285
47,13,315981.24819480535,218373.2920772864
47,14,273367.5487124796,138342.28475044708
47,15,249372.34775267157,95540.45771577909
47,16,261912.06203203794,111213.07782529245
47,17,306951.9429447443,135540.06205468168
47,18,346241.86273856333,201201.92685733945
47,19,276815.7479615188,262858.08715996606
47,20,148672.48772467725,193848.76980199388
47,21,430429.46966162324,392627.07647755335
47,22,342607.03414872574,206210.05364101965
47,23,242733.6754871247,64155.50061468578
47,24,207131.90695194283,51109.60419606206
47,25,192912.52860538993,49845.665217982445
47,26,209042.63591726092,59373.39830037746
47,27,266133.43997867085,88352.96706412589
47,28,345575.32937856857,153564.59307961882
47,29,380892.7103468194,263308.18740784744
47,30,241329.51187540265,272890.71461646137
47,31,91021.79564087179,12617.150804056866
47,32,481059.34368681815,381053.73242283263
47,33,317998.62249772256,124317.65853963232
47,34,241080.67275433792,55769.89665506042
47,35,195720.85582883414,54189.40975995867
47,36,164749.2723677486,60676.00491401232
47,37,165584.66084560857,74680.38963895099
47,38,208651.6030127307,105985.50792744134
47,39,269092.8480970472,119535.65793955141
47,40,411526.5835721744,253658.09170496953
47,41,314079.40634095395,304745.8417219498
47,42,106609.78915328042,98987.05717106926
47,43,541287.2980959363,369913.6794941668
47,44,353236.01946277404,156239.00016802977
47,45,254446.8884000976,79219.17224329
47,46,218880.66831078217,83227.77943076399
47,47,165104.7568264124,79369.67551647128
47,48,126925.72596591787,37126.354631967166
47,49,149063.52062920743,83186.96936555635
47,50,222328.8675598213,117086.83723620961
47,51,426057.0108200581,260026.2346808799
47,52,354000.3110489013,310099.4496149659
47,53,145944.14450443242,202786.17604552326
47,54,608633.8287897976,412964.89719064196
47,55,489555.4222488835,214949.40233635315
47,56,357919.5272056699,154662.45574969286
47,57,338981.0926703547,151622.85376312025
47,58,300970.9169277255,179345.69540634647
47,59,241320.62476393604,169538.76276853684
47,60,248110.37792441508,180153.23084173378
47,61,290928.4809704725,173864.41834823668
47,62,448425.87038147927,238538.16505628612
47,63,340927.3700815392,287200.19109960314
47,64,153613.7217001044,228053.27195338008
47,65,440231.9536092781,457856.12573986076
47,66,553995.8674931681,377390.6789343978
47,67,519025.0838721144,293650.886524651
47,68,453384.8785798395,141639.17201499883
47,69,422839.8764691506,157316.102739591
47,70,362718.56739763153,175987.41700086594
47,71,323473.0831611455,181646.17684951428
